system name,,,,,,,,
System name,BMC IP,"PDU
user: colossushosted
password: YOUR_PASSWORD_HERE","PDU
Port",System Config,Support Team,NVbug# when System is Down,DCS Depot Support Needed (Y/N)?,uut
MGX-C2G2-PVT-58,10.77.73.58,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups","7,15",,,,,
MGX-C2G2-PVT-59,10.77.73.59,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups","14,22",,,,,
MGX-C2G2-PVT-60,10.77.73.60,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups",,,,,,
MGX-C2G2-PVT-61,10.77.73.61,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups",,,,,,
MGX-C2G2-PVT-62,10.77.73.62,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups",,,,,,
MGX-C2G2-PVT-63,10.77.73.63,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups",,,,,,
MGX-C2G2-PVT-64,10.77.73.64,"https://ipp4-j22-a-pdu.ipp4.scz.us.nvidia.com/#/outletgroups - 
https://ipp4-j22-b-pdu.ipp4.scz.us.nvidia.com/#/outletgroups",,,,,,
MGX-C2G2-PVT-65,10.34.233.65,"https://10.34.233.250/ -
https://10.34.233.202/","3,4",,,,,
MGX-C2G2-PVT-66,10.34.233.66,"https://10.34.233.250/ -
https://10.34.233.202/","8,12",,,,,
MGX-C2G2-PVT-67,10.34.233.67,"https://10.34.233.250/ -
https://10.34.233.202/","13,17",,,,,
MGX-C2G2-PVT-68,10.34.233.68,"https://10.34.233.231 -
https://10.34.233.239","5,7",,,,,
MGX-C2G2-PVT-69,10.34.233.69,"https://10.34.233.231 -
https://10.34.233.239","9,11",,,,,
MGX-C2G2-PVT-70,10.34.233.70,"https://10.34.233.231 -
https://10.34.233.239","13,14",,,,,
MGX-C2G2-PVT-71,10.34.233.71,10.34.233.77 - 10.34.233.220,"3,4",,,,,
MGX-C2G2-PVT-72,10.34.233.72,10.34.233.77 - 10.34.233.220,"5,9",,,,,
MGX-C2G2-PVT-73,10.34.233.73,10.34.233.77 - 10.34.233.220,"17,18",,,,,
